lat,long,pcds,ctry,ru11ind,pcode,urban
51.660953,-3.030759,NP4 1RH,W92000004,C1,NP41RH,1
51.585279,-2.941,NP9 9PD,W92000004,C1,NP99PD,1
51.694618,-4.942145,SA72 6JD,W92000004,D1,SA726JD,0
53.048893,-3.000085,LL13 9ZW,W92000004,C1,LL139ZW,1
51.655971,-3.178099,NP2 2AH,W92000004,C1,NP22AH,1
53.112666,-3.190959,CH7 4BX,W92000004,F1,CH74BX,0
53.273728,-4.601201,LL65 2LQ,W92000004,E2,LL652LQ,0
53.209228,-3.036772,CH5 1QT,W92000004,C1,CH51QT,1
51.660953,-3.030759,NP4 1XW,W92000004,C1,NP41XW,1
51.574488,-3.217737,CF83 1JL,W92000004,C1,CF831JL,1
51.397822,-3.286767,CF6 8AZ,W92000004,C1,CF68AZ,1
51.611536,-3.585711,CF32 8EE,W92000004,D1,CF328EE,0
51.65677,-2.994523,NP4 2PX,W92000004,C1,NP42PX,1
51.498496,-3.18988,CF4 3UR,W92000004,C1,CF43UR,1
51.62026,-3.917823,SA1 8RE,W92000004,C1,SA18RE,1
51.523473,-3.097891,CF3 0YD,W92000004,C1,CF30YD,1
53.039769,-2.933623,LL13 9XN,W92000004,E1,LL139XN,0
51.631604,-3.128544,NP11 7EB,W92000004,C1,NP117EB,1
51.572069,-2.944522,NP18 2WU,W92000004,C1,NP182WU,1
52.448042,-3.53307,SY18 6FE,W92000004,D2,SY186FE,0
51.528613,-3.214985,CF14 6JY,W92000004,C1,CF146JY,1
53.315408,-4.63415,LL65 1HS,W92000004,C2,LL651HS,1
53.265242,-3.169542,CH6 6BE,W92000004,C1,CH66BE,1
51.621774,-4.030668,SA2 7RN,W92000004,C1,SA27RN,1
51.484315,-3.169348,CF2 3AB,W92000004,C1,CF23AB,1
51.388638,-3.357953,CF6 9EJ,W92000004,D1,CF69EJ,0
51.609338,-3.657527,CF34 4AE,W92000004,C1,CF344AE,1
51.614746,-2.966162,NP6 1RA,W92000004,D1,NP61RA,0
51.764144,-3.238876,NP2 4HU,W92000004,F1,NP24HU,0
52.019173,-3.95348,SA19 8TN,W92000004,F2,SA198TN,0
52.880767,-4.449077,LL53 7NE,W92000004,E2,LL537NE,0
53.023004,-2.960454,LL13 0PR,W92000004,E1,LL130PR,0
51.47745,-3.251625,CF5 4LR,W92000004,C1,CF54LR,1
51.783031,-3.238379,NP2 4PA,W92000004,C1,NP24PA,1
51.516667,-3.25809,CF4 8BN,W92000004,C1,CF48BN,1
51.603024,-2.970245,NP9 7LZ,W92000004,C1,NP97LZ,1
52.819692,-4.10893,LL45 2LR,W92000004,F2,LL452LR,0
53.318813,-3.829253,LL30 1DA,W92000004,C1,LL301DA,1
51.643836,-3.428796,CF43 3EU,W92000004,D1,CF433EU,0
51.40639,-3.470366,CF61 1WX,W92000004,C1,CF611WX,1
52.080373,-4.684715,SA43 3HD,W92000004,E2,SA433HD,0
51.813028,-2.712682,NP25 3DA,W92000004,C1,NP253DA,1
51.410721,-3.26907,CF63 1BG,W92000004,C1,CF631BG,1
53.120178,-3.032805,LL12 9NB,W92000004,D1,LL129NB,0
51.85085,-4.305571,SA31 9AN,W92000004,C2,SA319AN,1
51.513912,-3.430173,CF7 9HQ,W92000004,D1,CF79HQ,0
51.465745,-3.193634,CF10 3YT,W92000004,C1,CF103YT,1
52.754975,-3.881954,LL40 2HA,W92000004,E2,LL402HA,0
51.711473,-3.344168,CF48 4LB,W92000004,C1,CF484LB,1
51.461368,-3.452339,CF7 7XD,W92000004,D1,CF77XD,0
52.889712,-4.403393,LL53 5YT,W92000004,D2,LL535YT,0
51.674899,-4.045367,SA4 2HH,W92000004,C1,SA42HH,1
51.76957,-3.239315,NP22 3JU,W92000004,C1,NP223JU,1
51.997288,-4.986616,SA65 9DS,W92000004,D2,SA659DS,0
52.673656,-3.045028,SY5 9SB,W92000004,F2,SY59SB,0
51.588592,-2.975712,NPT 8XH,W92000004,C1,NPT8XH,1
51.481817,-3.149122,CF2 2BX,W92000004,C1,CF22BX,1
51.680469,-3.226741,CF8 8LG,W92000004,C1,CF88LG,1
51.494103,-3.179682,CF2 4EX,W92000004,C1,CF24EX,1
51.5866,-2.998763,NPT 1TE,W92000004,C1,NPT1TE,1
52.215793,-3.923057,SY25 6NH,W92000004,F2,SY256NH,0
53.168753,-3.073868,CH7 3HN,W92000004,C1,CH73HN,1
51.591595,-2.938243,NP9 9PP,W92000004,C1,NP99PP,1
51.661601,-3.447355,CF43 4RU,W92000004,D1,CF434RU,0
51.672492,-3.813132,SA10 7SW,W92000004,C1,SA107SW,1
51.668138,-3.906913,SA7 0EE,W92000004,C1,SA70EE,1
51.637707,-4.687486,SA70 7UH,W92000004,D2,SA707UH,0
51.636864,-3.431221,CF43 3LA,W92000004,C1,CF433LA,1
52.590356,-3.85251,SY20 8WN,W92000004,D2,SY208WN,0
51.587639,-2.749439,NP26 4BN,W92000004,C1,NP264BN,1
52.553047,-3.392564,SY16 3JA,W92000004,F2,SY163JA,0
51.522153,-3.194273,CF14 5WQ,W92000004,C1,CF145WQ,1
51.660093,-4.002321,SA5 4PF,W92000004,C1,SA54PF,1
51.620474,-3.972464,SA2 0QA,W92000004,C1,SA20QA,1
51.747439,-4.764585,SA68 0PE,W92000004,F2,SA680PE,0
51.783652,-2.736371,NP5 4HX,W92000004,F1,NP54HX,0
52.542659,-3.251218,SY15 6JH,W92000004,E2,SY156JH,0
51.591591,-3.045067,NP1 0DW,W92000004,C1,NP10DW,1
53.134288,-4.258226,LL55 2RX,W92000004,D1,LL552RX,0
53.301649,-3.536995,LL22 9LY,W92000004,C1,LL229LY,1
53.065321,-3.104289,LL11 5UW,W92000004,E1,LL115UW,0
51.470613,-3.190594,CF1 7PH,W92000004,C1,CF17PH,1
51.680026,-4.115336,SA14 9YF,W92000004,C1,SA149YF,1
51.712418,-4.031745,SA4 1HY,W92000004,D1,SA41HY,0
51.85085,-4.305571,SA31 3YN,W92000004,C2,SA313YN,1
51.465745,-3.193634,CF11 1AJ,W92000004,C1,CF111AJ,1
51.404056,-3.27258,CF63 9DW,W92000004,C1,CF639DW,1
51.730743,-4.83669,SA68 0PL,W92000004,F1,SA680PL,0
51.528164,-3.298801,CF15 9TD,W92000004,D1,CF159TD,0
51.666431,-3.029452,NP44 1AP,W92000004,C1,NP441AP,1
51.484038,-3.712792,CF36 3LG,W92000004,C1,CF363LG,1
51.722376,-4.736756,SA68 0RB,W92000004,E2,SA680RB,0
51.615716,-2.969664,NP18 3BY,W92000004,D1,NP183BY,0
51.579221,-3.21046,CF83 1QJ,W92000004,C1,CF831QJ,1
51.704098,-4.005711,SA4 1HE,W92000004,E1,SA41HE,0
52.209136,-4.299932,SA47 0PY,W92000004,F2,SA470PY,0
51.481283,-3.202392,CF1 9NF,W92000004,C1,CF19NF,1
53.22669,-4.516459,LL64 5JH,W92000004,D2,LL645JH,0
51.867604,-2.964804,NP7 8EN,W92000004,F1,NP78EN,0
51.638508,-3.967422,SA5 8JS,W92000004,C1,SA58JS,1
53.284225,-3.568171,LL22 7HZ,W92000004,E1,LL227HZ,0
51.684937,-3.340388,CF48 4PB,W92000004,D1,CF484PB,0
51.47285,-3.167528,CF1 5YP,W92000004,C1,CF15YP,1
53.116285,-3.122225,CH7 4PA,W92000004,E1,CH74PA,0
52.904776,-4.468099,LL53 6DW,W92000004,E2,LL536DW,0
51.577936,-3.231106,CF83 1YL,W92000004,C1,CF831YL,1
51.698247,-3.418311,CF44 6ZA,W92000004,C1,CF446ZA,1
51.712961,-3.143393,NP3 2EN,W92000004,E1,NP32EN,0
51.541971,-3.583824,CF32 9PZ,W92000004,C1,CF329PZ,1
51.546103,-3.700426,SA13 2TZ,W92000004,D1,SA132TZ,0
51.536383,-3.372973,CF7 8DW,W92000004,C1,CF78DW,1
52.025745,-4.398336,SA44 5UP,W92000004,E2,SA445UP,0
51.790913,-3.760284,SA9 1NA,W92000004,C1,SA91NA,1
